date,MW
229,2217.7954545454545
230,2235.5113636363635
231,2304.3030303030305
232,2276.1742424242425
233,2205.8295454545455
234,2199.0833333333335
235,2238.5492424242425
236,2264.685606060606
237,2261.1098484848485
238,2223.215909090909
239,2216.056818181818
240,2232.030303030303
241,2251.7651515151515
242,2218.715909090909
243,2174.4204545454545
244,2167.9848484848485
245,2152.1401515151515
246,2106.8219696969695
247,2045.4318181818182
248,2062.4469696969695
249,2042.2234848484848
250,2062.1477272727275
251,2103.8030303030305
252,2078.276515151515
253,2058.810606060606
254,1997.6704545454545
255,1953.4469696969697
256,1943.2916666666667
257,1952.0265151515152
258,1874.530303030303
259,1829.8560606060605
260,1803.2310606060605
261,1871.378787878788
262,1909.8522727272727
263,1917.3030303030303
264,1959.1174242424242
265,1939.875
266,1942.1742424242425
267,1923.8333333333333
268,1903.3825757575758
269,1879.469696969697
270,1843.878787878788
271,1845.435606060606
272,1814.9469696969697
273,1794.253787878788
274,1758.5757575757575
275,1818.8598484848485
276,1871.3825757575758
277,1885.6704545454545
278,1891.4166666666667
279,1872.4469696969697
280,1838.530303030303
281,1826.9469696969697
282,1827.9128787878788
283,1807.2689393939395
284,1804.9166666666667
285,1828.9242424242425
286,1807.905303030303
287,1807.5416666666667
288,1788.2007575757575
289,1810.2424242424242
290,1824.6931818181818
291,1822.9166666666667
292,1830.560606060606
293,1817.534090909091
294,1821.9166666666667
295,1811.3257575757575
296,1837.939393939394
297,1862.2765151515152
298,1855.4545454545455
299,1852.0378787878788
300,1840.4242424242425
301,1875.25
302,1867.0684410646388
303,1890.4220532319391
304,1884.7083333333333
305,1886.9318181818182
306,1900.0415094339623
307,1885.996183206107
308,1886.2851711026617
309,1850.855513307985
310,1883.2471482889734
311,1894.6197718631179
312,1880.371212121212
313,1890.2689393939395
314,1897.5871212121212
315,1919.9204545454545
316,1910.3030303030303
317,1925.9431818181818
318,1940.0681818181818
319,1953.1818181818182
320,1965.3636363636363
321,1990.905303030303
322,2034.7234848484848
323,2010.2234848484848
324,2008.9621212121212
325,2001.0265151515152
326,1949.0227272727273
327,1907.375
328,1893.905303030303
329,1928.340909090909
330,1885.189393939394
331,1899.314393939394
332,1934.5568181818182
333,1956.6515151515152
334,2018.0795454545455
335,2070.412878787879
336,2109.3219696969695
337,2106.7613636363635
338,2130.2083333333335
339,2147.837121212121
340,2225.753787878788
341,2244.1439393939395
342,2227.5227272727275
343,2198.943181818182
344,2167.5399239543726
345,2162.3030303030305
346,2195.6363636363635
347,2177.367424242424
348,2164.2272727272725
349,2153.162878787879
350,2178.0113636363635
351,2179.912878787879
352,2197.2272727272725
353,2209.837121212121
354,2175.2613636363635
355,2116.2992424242425
356,2084.473484848485
357,2055.068181818182
358,1890.5795454545455
359,1770.1136363636363
360,1855.284090909091
361,1928.2651515151515
362,1948.5871212121212
363,1939.3333333333333
364,1955.060606060606
365,1887.0719696969697
366,2016.4375
